Commodity,Category,Unit,State,District,Market,Date,Year,Month,Season,Arrival_Qty,Min_Price,Max_Price,Modal_Price
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,8/21/2025,2025,8,Kharif,381.23,6508.86,7225.35,6866.66
Wheat,Grain,Quintal,Punjab,Amritsar,Amritsar,9/20/2022,2022,9,Kharif,251.02,2429.74,2574.37,2502.13
Mango,Fruit,Kg,Punjab,Amritsar,Amritsar,10/13/2023,2023,10,Rabi,702.4,171.06,174.48,172.93
Onion,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,4/10/2025,2025,4,Zaid,225.4,58.89,64.67,62.17
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,8/26/2025,2025,8,Kharif,559.5,204.35,233.25,218.59
Rice,Grain,Quintal,Karnataka,Belagavi,Belagavi,7/21/2022,2022,7,Kharif,406.93,2750.6,2826.57,2788.25
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2/23/2020,2020,2,Rabi,730.39,24.2,25.49,24.87
Brinjal,Vegetable,Kg,Maharashtra,Pune,Pune,8/9/2025,2025,8,Kharif,431.72,43.55,46.81,44.77
Brinjal,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,3/10/2022,2022,3,Rabi,761.92,31.04,35.31,33.07
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,11/7/2024,2024,11,Rabi,200.85,57.15,61.47,59.3
Cotton,Fiber,Quintal,Maharashtra,Nashik,Lasalgaon,9/28/2022,2022,9,Kharif,630.28,8595.22,9361.08,8977.66
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,10/6/2022,2022,10,Rabi,192.91,38.02,42.45,40.03
Wheat,Grain,Quintal,Karnataka,Belagavi,Belagavi,5/18/2022,2022,5,Zaid,405.29,2196.96,2482.73,2339.81
Brinjal,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,5/19/2024,2024,5,Zaid,59.61,33.37,37.69,35.53
Maize,Grain,Quintal,Punjab,Ludhiana,Ludhiana,5/31/2021,2021,5,Zaid,433.88,1539.59,1699.02,1619.42
Tomato,Vegetable,Kg,Karnataka,Belagavi,Belagavi,5/23/2022,2022,5,Zaid,108.22,25.79,27.81,27.19
Banana,Fruit,Dozen,Karnataka,Mysuru,Mysuru,4/23/2022,2022,4,Zaid,811.76,114.25,117.88,116.04
Rice,Grain,Quintal,Maharashtra,Nashik,Lasalgaon,9/17/2023,2023,9,Kharif,635.01,1825.87,1921.47,1874.11
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,4/13/2021,2021,4,Zaid,909.15,2429.96,2593.16,2511.42
Mustard Oil,Oil,Litre,Maharashtra,Nashik,Lasalgaon,8/21/2022,2022,8,Kharif,291.27,198.96,207.23,203.27
Banana,Fruit,Dozen,Punjab,Amritsar,Amritsar,7/26/2022,2022,7,Kharif,287.9,101.51,103.45,102.9
Maize,Grain,Quintal,Uttar Pradesh,Kanpur,Kanpur,12/14/2022,2022,12,Rabi,141.13,2421.7,2729.5,2575.47
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,3/31/2023,2023,3,Rabi,725.73,19.35,21,20.03
Banana,Fruit,Dozen,Karnataka,Mysuru,Mysuru,3/30/2024,2024,3,Rabi,574.59,89.18,97.38,92.88
Mango,Fruit,Kg,Uttar Pradesh,Kanpur,Kanpur,6/22/2024,2024,6,Kharif,743.56,108.55,111.98,110.12
Mustard,Oilseed,Quintal,Gujarat,Rajkot,Rajkot,5/5/2024,2024,5,Zaid,645.39,4061.68,4574.71,4318.6
Milk,Dairy,Litre,Maharashtra,Pune,Pune,1/23/2022,2022,1,Rabi,850.27,30.58,34.87,32.5
Wheat,Grain,Quintal,Karnataka,Mysuru,Mysuru,11/9/2022,2022,11,Rabi,756.95,2095.36,2151.65,2123.26
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,5/10/2021,2021,5,Zaid,728.72,221.44,243.45,232.58
Banana,Fruit,Dozen,Karnataka,Belagavi,Belagavi,8/20/2022,2022,8,Kharif,430.08,23.93,27.12,25.96
Potato,Vegetable,Kg,Karnataka,Mysuru,Mysuru,6/25/2021,2021,6,Kharif,408,20.7,22.47,21.09
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,12/28/2022,2022,12,Rabi,832.55,43.96,48.55,46.06
Wheat,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,12/26/2022,2022,12,Rabi,308.61,2275.52,2498.88,2386.89
Cabbage,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,4/2/2020,2020,4,Zaid,217.13,25.06,28.09,26.27
Rice,Grain,Quintal,Punjab,Ludhiana,Ludhiana,9/22/2021,2021,9,Kharif,437.55,2030.98,2079.4,2055.52
Cotton,Fiber,Quintal,Punjab,Amritsar,Amritsar,12/30/2025,2025,12,Rabi,428.57,8709.51,9410.57,9059.76
Brinjal,Vegetable,Kg,Karnataka,Mysuru,Mysuru,5/2/2022,2022,5,Zaid,683.95,37.79,41.05,39.02
Mustard Oil,Oil,Litre,Punjab,Amritsar,Amritsar,4/23/2024,2024,4,Zaid,632.01,147.73,159.11,153.89
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,6/3/2022,2022,6,Kharif,562.87,1776.77,1906.15,1841.67
Tomato,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,12/14/2022,2022,12,Rabi,881.69,19.99,22.59,21.64
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,8/12/2021,2021,8,Kharif,866.63,2226.41,2462.7,2344.16
Cotton,Fiber,Quintal,Gujarat,Ahmedabad,Ahmedabad,4/30/2020,2020,4,Zaid,284.32,6119.67,6758.62,6439.29
Brinjal,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,3/24/2022,2022,3,Rabi,366.38,20.06,22.23,21.14
Potato,Vegetable,Kg,Gujarat,Rajkot,Rajkot,3/4/2021,2021,3,Rabi,146.29,37.42,40.51,38.85
Banana,Fruit,Dozen,Gujarat,Rajkot,Rajkot,6/22/2025,2025,6,Kharif,482.7,107.51,122.71,115.41
Tomato,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,12/31/2022,2022,12,Rabi,801.79,22.82,24.77,24.02
Mango,Fruit,Kg,Uttar Pradesh,Kanpur,Kanpur,2/20/2024,2024,2,Rabi,657.88,168.56,183.16,175.53
Mango,Fruit,Kg,Maharashtra,Nagpur,Nagpur,10/17/2022,2022,10,Rabi,641.8,105.94,119.05,112.48
Onion,Vegetable,Kg,Maharashtra,Pune,Pune,12/5/2023,2023,12,Rabi,714.28,57.04,62.01,59.09
Onion,Vegetable,Kg,Punjab,Amritsar,Amritsar,7/12/2020,2020,7,Kharif,432.37,39.97,45.44,43.19
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,12/15/2023,2023,12,Rabi,646.23,2185.16,2513.1,2349.18
Brinjal,Vegetable,Kg,Punjab,Amritsar,Amritsar,8/14/2022,2022,8,Kharif,797.91,15.56,17.07,16.63
Potato,Vegetable,Kg,Gujarat,Rajkot,Rajkot,11/27/2023,2023,11,Rabi,526.29,35.85,39.68,38.2
Banana,Fruit,Dozen,West Bengal,Hooghly,Arambagh,4/23/2022,2022,4,Zaid,577.95,99.26,102.13,100.71
Brinjal,Vegetable,Kg,Punjab,Amritsar,Amritsar,8/8/2025,2025,8,Kharif,405.67,16.61,18.11,17.19
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,10/27/2020,2020,10,Rabi,663.95,33.29,36.45,34.63
Tomato,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,12/3/2020,2020,12,Rabi,884.06,46.95,51.68,49.74
Potato,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,8/25/2024,2024,8,Kharif,794.88,10.76,12.56,11.55
Mango,Fruit,Kg,Karnataka,Belagavi,Belagavi,12/1/2023,2023,12,Rabi,485.08,46.57,49.81,48.13
Rice,Grain,Quintal,Maharashtra,Pune,Pune,7/18/2023,2023,7,Kharif,516.99,2754.11,2935.88,2844.86
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,4/12/2025,2025,4,Zaid,226.12,207.14,215.55,211.32
Mustard,Oilseed,Quintal,Maharashtra,Nashik,Lasalgaon,3/13/2025,2025,3,Rabi,866.32,5515.82,5965.49,5740.62
Potato,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,11/20/2020,2020,11,Rabi,587.88,27.68,32.16,30.33
Tomato,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,8/12/2022,2022,8,Kharif,649.68,58.83,62.46,60.65
Mustard,Oilseed,Quintal,Uttar Pradesh,Kanpur,Kanpur,4/5/2023,2023,4,Zaid,704.94,4552.59,5111.09,4831.76
Wheat,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,9/15/2020,2020,9,Kharif,340.19,2037.66,2322.62,2180.63
Cabbage,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,5/31/2023,2023,5,Zaid,779.33,18.6,20.06,19.06
Mustard,Oilseed,Quintal,Maharashtra,Nagpur,Nagpur,7/20/2020,2020,7,Kharif,436.03,6310.56,6985.75,6647.85
Maize,Grain,Quintal,Maharashtra,Pune,Pune,10/22/2021,2021,10,Rabi,182.52,1877.18,1898.45,1887.53
Onion,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,1/22/2021,2021,1,Rabi,114.88,56.69,62.51,59.34
Maize,Grain,Quintal,Maharashtra,Nagpur,Nagpur,6/10/2023,2023,6,Kharif,910.09,1613.59,1794.49,1704.28
Cabbage,Vegetable,Kg,Punjab,Amritsar,Amritsar,11/9/2024,2024,11,Rabi,232.81,18.63,21.32,19.62
Mango,Fruit,Kg,Gujarat,Ahmedabad,Ahmedabad,9/2/2025,2025,9,Kharif,167.74,57.44,64.45,61.24
Maize,Grain,Quintal,Maharashtra,Pune,Pune,5/1/2021,2021,5,Zaid,732.53,1542.21,1715.24,1628.72
Banana,Fruit,Dozen,Punjab,Ludhiana,Ludhiana,8/7/2022,2022,8,Kharif,755.24,97.01,106.95,102.35
Mustard,Oilseed,Quintal,Uttar Pradesh,Varanasi,Varanasi,12/25/2022,2022,12,Rabi,633.96,4855.74,4998.86,4926.99
Wheat,Grain,Quintal,Punjab,Amritsar,Amritsar,6/22/2025,2025,6,Kharif,308.42,1726.84,1866.55,1796.63
Milk,Dairy,Litre,Punjab,Ludhiana,Ludhiana,8/2/2021,2021,8,Kharif,811.15,39.12,42.93,41.26
Wheat,Grain,Quintal,Gujarat,Ahmedabad,Ahmedabad,5/19/2025,2025,5,Zaid,912.8,2813.36,2921.85,2868.08
Mango,Fruit,Kg,Karnataka,Belagavi,Belagavi,11/28/2025,2025,11,Rabi,438.7,52.39,56.46,54.3
Potato,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,9/11/2022,2022,9,Kharif,153.59,14.49,16.07,15.23
Milk,Dairy,Litre,Gujarat,Rajkot,Rajkot,10/20/2024,2024,10,Rabi,838.43,43.57,48.47,45.89
Milk,Dairy,Litre,Punjab,Amritsar,Amritsar,1/24/2020,2020,1,Rabi,233.5,57.51,61.62,59.74
Cabbage,Vegetable,Kg,Karnataka,Belagavi,Belagavi,8/5/2023,2023,8,Kharif,641.27,33.67,35.88,34.73
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,6/29/2021,2021,6,Kharif,868.94,8108.43,8348.85,8228.91
Cotton,Fiber,Quintal,Uttar Pradesh,Kanpur,Kanpur,12/9/2021,2021,12,Rabi,543.85,7161.79,7950.63,7555.77
Mustard,Oilseed,Quintal,Gujarat,Ahmedabad,Ahmedabad,7/7/2021,2021,7,Kharif,850.75,4195.65,4599.97,4397.96
Tomato,Vegetable,Kg,Maharashtra,Pune,Pune,2/11/2023,2023,2,Rabi,71.5,50.27,55.83,53.17
Maize,Grain,Quintal,Punjab,Amritsar,Amritsar,7/27/2022,2022,7,Kharif,598.3,1567.09,1756.46,1661.9
Milk,Dairy,Litre,Karnataka,Mysuru,Mysuru,3/1/2022,2022,3,Rabi,488.84,36.08,38.77,37.44
Brinjal,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,4/7/2023,2023,4,Zaid,623.44,36.43,40.12,38.58
Brinjal,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,2/27/2022,2022,2,Rabi,298.36,15.29,17.57,16.56
Mustard Oil,Oil,Litre,Punjab,Amritsar,Amritsar,7/15/2021,2021,7,Kharif,903.31,169.58,177.09,172.99
Banana,Fruit,Dozen,Maharashtra,Pune,Pune,3/11/2021,2021,3,Rabi,591.12,78.54,89.11,83.35
Mustard Oil,Oil,Litre,Uttar Pradesh,Kanpur,Kanpur,5/19/2024,2024,5,Zaid,610.86,212.38,231.84,221.72
Mustard Oil,Oil,Litre,Karnataka,Belagavi,Belagavi,10/4/2022,2022,10,Rabi,877.97,155.8,166.51,160.99
Cabbage,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,6/11/2025,2025,6,Kharif,80.38,17.02,18.64,17.83
Maize,Grain,Quintal,Maharashtra,Nagpur,Nagpur,11/16/2024,2024,11,Rabi,216.18,2276.83,2473.31,2375.06
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,7/24/2022,2022,7,Kharif,874.32,20.54,22.54,21.48
Brinjal,Vegetable,Kg,Punjab,Amritsar,Amritsar,2/18/2022,2022,2,Rabi,676.54,46.57,51.39,49.07
Cotton,Fiber,Quintal,Gujarat,Rajkot,Rajkot,10/8/2022,2022,10,Rabi,389.5,5032.71,5373.63,5203.34
Wheat,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,4/6/2024,2024,4,Zaid,324.38,2734.97,3091.89,2913.35
Tomato,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,1/28/2022,2022,1,Rabi,685.29,41.53,46.83,44.66
Rice,Grain,Quintal,Punjab,Ludhiana,Ludhiana,8/21/2020,2020,8,Kharif,622.1,2334.5,2564.35,2449.06
Mustard,Oilseed,Quintal,Maharashtra,Nashik,Lasalgaon,10/5/2022,2022,10,Rabi,533.97,5512.57,5779.46,5645.99
Mango,Fruit,Kg,Maharashtra,Nagpur,Nagpur,7/31/2025,2025,7,Kharif,413.23,137.8,152.71,144.99
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,12/8/2023,2023,12,Rabi,563.5,50.07,53.48,52.19
Cotton,Fiber,Quintal,Uttar Pradesh,Kanpur,Kanpur,10/17/2022,2022,10,Rabi,600.36,5823.77,6353.67,6088.49
Wheat,Grain,Quintal,Maharashtra,Nashik,Lasalgaon,1/17/2020,2020,1,Rabi,242.33,2451.65,2600.17,2526.29
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,2/19/2023,2023,2,Rabi,388.67,4228.2,4644.5,4436.64
Tomato,Vegetable,Kg,Karnataka,Belagavi,Belagavi,5/7/2022,2022,5,Zaid,797.92,32.7,34.81,34.02
Wheat,Grain,Quintal,Punjab,Amritsar,Amritsar,3/17/2022,2022,3,Rabi,530.95,2213.9,2478.47,2345.7
Banana,Fruit,Dozen,Maharashtra,Pune,Pune,9/17/2021,2021,9,Kharif,829.63,35.31,40.29,37.46
Banana,Fruit,Dozen,Gujarat,Ahmedabad,Ahmedabad,11/29/2022,2022,11,Rabi,275.27,28.92,32.5,31.08
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,8/10/2024,2024,8,Kharif,452.07,36.05,40.17,37.73
Maize,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,12/24/2025,2025,12,Rabi,828.89,2237.68,2578.67,2408.31
Cabbage,Vegetable,Kg,Karnataka,Mysuru,Mysuru,3/23/2022,2022,3,Rabi,458.21,27.3,30.46,28.45
Mustard Oil,Oil,Litre,Maharashtra,Pune,Pune,6/6/2024,2024,6,Kharif,516.18,134.09,142.5,138.55
Mustard,Oilseed,Quintal,Gujarat,Rajkot,Rajkot,12/1/2025,2025,12,Rabi,149.05,4306.22,4579.53,4443.26
Banana,Fruit,Dozen,Punjab,Ludhiana,Ludhiana,1/27/2023,2023,1,Rabi,563.21,37.27,39.1,38.65
Mustard,Oilseed,Quintal,Karnataka,Mysuru,Mysuru,7/17/2023,2023,7,Kharif,832.9,6768.82,7032.82,6901.24
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,5/30/2024,2024,5,Zaid,805.28,73.81,82.77,78.05
Mustard,Oilseed,Quintal,Punjab,Ludhiana,Ludhiana,2/14/2025,2025,2,Rabi,656.59,4346.14,4683.78,4514.97
Maize,Grain,Quintal,Karnataka,Mysuru,Mysuru,3/6/2023,2023,3,Rabi,777.33,1556.93,1631.32,1594.58
Milk,Dairy,Litre,Maharashtra,Nashik,Lasalgaon,4/2/2023,2023,4,Zaid,179.07,49.62,53.51,51.5
Mustard,Oilseed,Quintal,Karnataka,Belagavi,Belagavi,8/16/2020,2020,8,Kharif,20.11,6272.22,6935.37,6603.74
Rice,Grain,Quintal,Karnataka,Belagavi,Belagavi,8/6/2021,2021,8,Kharif,842.91,2935.45,3255.04,3095.41
Wheat,Grain,Quintal,Maharashtra,Pune,Pune,11/20/2021,2021,11,Rabi,750.07,1659.6,1746.09,1702.52
Mustard Oil,Oil,Litre,Uttar Pradesh,Kanpur,Kanpur,8/30/2020,2020,8,Kharif,900.72,211.48,233.89,222.85
Milk,Dairy,Litre,Uttar Pradesh,Varanasi,Varanasi,1/14/2022,2022,1,Rabi,929.53,54.66,59.23,57.29
Cabbage,Vegetable,Kg,Karnataka,Mysuru,Mysuru,4/20/2024,2024,4,Zaid,189.03,23.3,25.56,23.95
Cotton,Fiber,Quintal,Karnataka,Mysuru,Mysuru,8/8/2025,2025,8,Kharif,931.16,4774.2,5219.2,4996.7
Brinjal,Vegetable,Kg,Punjab,Amritsar,Amritsar,8/4/2021,2021,8,Kharif,322.54,40.65,46.3,43.45
Wheat,Grain,Quintal,Maharashtra,Pune,Pune,4/4/2020,2020,4,Zaid,731.21,1875.56,2112.41,1993.89
Milk,Dairy,Litre,Gujarat,Ahmedabad,Ahmedabad,2/2/2025,2025,2,Rabi,370.22,35.71,38.91,37.36
Wheat,Grain,Quintal,Gujarat,Rajkot,Rajkot,3/20/2022,2022,3,Rabi,741.31,1688.18,1883.8,1786.34
Mango,Fruit,Kg,Maharashtra,Nashik,Lasalgaon,11/22/2022,2022,11,Rabi,115.84,92.45,104.43,98.13
Mustard,Oilseed,Quintal,Uttar Pradesh,Varanasi,Varanasi,11/17/2024,2024,11,Rabi,782.4,6190.62,6569.38,6379.91
Banana,Fruit,Dozen,Uttar Pradesh,Varanasi,Varanasi,6/25/2023,2023,6,Kharif,916.89,107.83,125.86,116.73
Milk,Dairy,Litre,Maharashtra,Nashik,Lasalgaon,11/4/2024,2024,11,Rabi,812.27,55.57,62.05,58.36
Rice,Grain,Quintal,Punjab,Ludhiana,Ludhiana,2/17/2021,2021,2,Rabi,170.87,2012.32,2222.54,2117.2
Brinjal,Vegetable,Kg,Maharashtra,Nagpur,Nagpur,5/7/2025,2025,5,Zaid,47.67,47.78,51.62,49.48
Wheat,Grain,Quintal,Uttar Pradesh,Kanpur,Kanpur,1/4/2024,2024,1,Rabi,60.36,2404.93,2785.19,2595.1
Brinjal,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,10/24/2025,2025,10,Rabi,273.34,15.88,17.94,16.96
Maize,Grain,Quintal,Uttar Pradesh,Kanpur,Kanpur,5/30/2022,2022,5,Zaid,877.45,2536.96,2718.46,2627.23
Potato,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,8/2/2020,2020,8,Kharif,145.01,38.36,42.19,39.97
Banana,Fruit,Dozen,Karnataka,Belagavi,Belagavi,2/28/2024,2024,2,Rabi,702.11,53.34,57.86,55.7
Wheat,Grain,Quintal,Gujarat,Rajkot,Rajkot,8/29/2023,2023,8,Kharif,635.44,1933.11,2066.03,1999.74
Onion,Vegetable,Kg,Karnataka,Mysuru,Mysuru,8/18/2023,2023,8,Kharif,669.67,42.47,46.73,44.84
Milk,Dairy,Litre,Punjab,Amritsar,Amritsar,8/18/2020,2020,8,Kharif,515.04,51.08,58.06,54.62
Mustard,Oilseed,Quintal,Punjab,Ludhiana,Ludhiana,1/27/2023,2023,1,Rabi,913.83,5016.75,5498.23,5257.35
Banana,Fruit,Dozen,Karnataka,Mysuru,Mysuru,5/29/2022,2022,5,Zaid,421.43,56.76,63.97,60.53
Mango,Fruit,Kg,Punjab,Ludhiana,Ludhiana,10/11/2025,2025,10,Rabi,186.99,164.22,182.34,173.3
Banana,Fruit,Dozen,Gujarat,Rajkot,Rajkot,10/7/2021,2021,10,Rabi,858.27,96.87,99.75,98.54
Onion,Vegetable,Kg,Punjab,Amritsar,Amritsar,1/24/2022,2022,1,Rabi,135.01,26.75,29.77,28.62
Mustard,Oilseed,Quintal,Uttar Pradesh,Kanpur,Kanpur,10/1/2020,2020,10,Rabi,840.31,4035.35,4287.54,4161.1
Mango,Fruit,Kg,Punjab,Amritsar,Amritsar,2/3/2025,2025,2,Rabi,382.06,46.46,50.49,47.99
Mustard Oil,Oil,Litre,Maharashtra,Nashik,Lasalgaon,10/20/2025,2025,10,Rabi,392.75,189.45,217.01,203.33
Milk,Dairy,Litre,Uttar Pradesh,Varanasi,Varanasi,6/5/2025,2025,6,Kharif,238.09,41.18,43.78,42.72
Cabbage,Vegetable,Kg,Punjab,Amritsar,Amritsar,8/17/2025,2025,8,Kharif,77.26,12.83,14.07,13.05
Milk,Dairy,Litre,Punjab,Ludhiana,Ludhiana,3/25/2025,2025,3,Rabi,546,48.65,52.59,50.61
Wheat,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,5/5/2020,2020,5,Zaid,506.54,1866.16,2045.96,1956.29
Mustard,Oilseed,Quintal,Karnataka,Belagavi,Belagavi,7/13/2022,2022,7,Kharif,241.05,5794.39,6136.11,5965.03
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,10/30/2023,2023,10,Rabi,693.42,49.87,56.7,53.66
Onion,Vegetable,Kg,Maharashtra,Pune,Pune,9/23/2023,2023,9,Kharif,146.51,14.23,15.74,14.88
Maize,Grain,Quintal,Karnataka,Mysuru,Mysuru,3/2/2021,2021,3,Rabi,845.98,2370.91,2519.49,2445.06
Brinjal,Vegetable,Kg,Maharashtra,Nagpur,Nagpur,4/1/2024,2024,4,Zaid,291.71,42.85,48.35,45.64
Mustard,Oilseed,Quintal,Maharashtra,Pune,Pune,1/18/2023,2023,1,Rabi,227.6,5560.11,6293.99,5926.65
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,6/10/2021,2021,6,Kharif,317.87,28.21,32.09,30.56
Wheat,Grain,Quintal,Karnataka,Mysuru,Mysuru,2/17/2020,2020,2,Rabi,541.18,2701.56,2853.63,2777.76
Mango,Fruit,Kg,Karnataka,Belagavi,Belagavi,10/20/2023,2023,10,Rabi,413.78,95.45,103.8,99.14
Rice,Grain,Quintal,Maharashtra,Nagpur,Nagpur,11/2/2022,2022,11,Rabi,178.75,2332.34,2470.86,2401.88
Tomato,Vegetable,Kg,Karnataka,Mysuru,Mysuru,8/20/2024,2024,8,Kharif,605.01,38.26,42.46,40.4
Tomato,Vegetable,Kg,Karnataka,Belagavi,Belagavi,12/13/2025,2025,12,Rabi,182.56,18.22,21.05,19.81
Milk,Dairy,Litre,Punjab,Ludhiana,Ludhiana,9/2/2021,2021,9,Kharif,442.99,55.38,57.18,56
Wheat,Grain,Quintal,Gujarat,Rajkot,Rajkot,8/29/2025,2025,8,Kharif,644.81,1675.04,1830.54,1752.42
Potato,Vegetable,Kg,Gujarat,Rajkot,Rajkot,3/20/2022,2022,3,Rabi,363.97,23.35,26.95,25.13
Milk,Dairy,Litre,Maharashtra,Nagpur,Nagpur,1/18/2021,2021,1,Rabi,589.39,53.79,61.25,57.39
Rice,Grain,Quintal,Gujarat,Rajkot,Rajkot,9/10/2025,2025,9,Kharif,52.44,2953.07,3328.97,3141
Onion,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,4/13/2024,2024,4,Zaid,361.53,45.76,48.54,46.91
