Commodity,Category,Unit,State,District,Market,Date,Year,Month,Season,Arrival_Qty,Min_Price,Max_Price,Modal_Price,Day,Week,Quarter,DayOfWeek
Cotton,Fiber,Quintal,West Bengal,Nadia,Krishnanagar,2022-10-03,2022,10,Rabi,582.69,5246.56,5605.2,5425.69,3,40,4,0
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2022-05-21,2022,5,Zaid,64.11,2589.29,2946.56,2767.53,21,20,2,5
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-06-17,2023,6,Kharif,680.4,26.58,29.15,28.03,17,24,2,5
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2021-03-31,2021,3,Rabi,917.54,4909.67,5186.3,5048.14,31,13,1,2
Cabbage,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2020-01-15,2020,1,Rabi,758.06,30.95,35.21,33.25,15,3,1,2
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2022-11-07,2022,11,Rabi,221.09,1808.33,2094.76,1951.85,7,45,4,0
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-01-17,2023,1,Rabi,773.38,25.5,28.11,26.89,17,3,1,1
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2021-01-16,2021,1,Rabi,732.96,127.64,136.21,132.32,16,2,1,5
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2020-04-09,2020,4,Zaid,145.31,1910.86,1996.46,1953.79,9,15,2,3
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2022-06-01,2022,6,Kharif,829.68,5328.23,5785.89,5557.55,1,22,2,2
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-02-28,2023,2,Rabi,727.05,18.17,19.61,19.34,28,9,1,1
Rice,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2020-09-25,2020,9,Kharif,197.5,2802.85,3057.22,2930.19,25,39,3,4
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2020-11-03,2020,11,Rabi,830.41,113.67,121.66,117.2,3,45,4,1
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2022-12-29,2022,12,Rabi,613.9,2145.17,2372.68,2259.36,29,52,4,3
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2020-06-01,2020,6,Kharif,743.7,37.54,42.55,40.01,1,23,2,0
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-09-13,2025,9,Kharif,73.52,21.44,24.65,23.18,13,37,3,5
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2021-01-10,2021,1,Rabi,585.97,2434.93,2637.25,2535.61,10,1,1,6
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2025-12-14,2025,12,Rabi,185.03,79.89,84.25,81.95,14,50,4,6
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2025-06-24,2025,6,Kharif,735.92,25.77,28.04,27.14,24,26,2,1
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2025-06-24,2025,6,Kharif,316.64,98.17,109.86,104.33,24,26,2,1
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2024-02-23,2024,2,Rabi,661.73,2382.83,2636.77,2510.05,23,8,1,4
Banana,Fruit,Dozen,West Bengal,Purba Medinipur,Panskura,2023-01-06,2023,1,Rabi,874.11,104.5,108.17,106.54,6,1,1,4
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-11-20,2025,11,Rabi,884.5,41.84,45.67,44.25,20,47,4,3
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2024-03-01,2024,3,Rabi,810.85,1854.5,2080.11,1967.53,1,9,1,4
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2023-05-23,2023,5,Zaid,779.39,4292.39,4547.42,4419.41,23,21,2,1
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2025-04-24,2025,4,Zaid,722.94,66.46,74.59,70.1,24,17,2,3
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2020-12-05,2020,12,Rabi,386.43,2757.61,2887.78,2823.01,5,49,4,5
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2023-10-12,2023,10,Rabi,35.55,141.32,146.53,143.5,12,41,4,3
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2021-03-06,2021,3,Rabi,936.47,6438.25,6861.29,6649.9,6,9,1,5
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-11-02,2023,11,Rabi,848.6,26.41,28.91,27.2,2,44,4,3
Potato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-07-15,2022,7,Kharif,210.45,23.56,25.99,24.54,15,28,3,4
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2020-05-04,2020,5,Zaid,499.12,85.65,94.29,89.72,4,19,2,0
Potato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-03-14,2023,3,Rabi,874.94,38.71,41.02,39.56,14,11,1,1
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2022-08-13,2022,8,Kharif,457.27,191.01,204.75,197.49,13,32,3,5
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2025-07-23,2025,7,Kharif,457.69,2025.7,2228.53,2126.66,23,30,3,2
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2020-01-02,2020,1,Rabi,577.87,108.7,112.14,110.46,2,1,1,3
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2020-03-21,2020,3,Rabi,912.81,17.61,19.55,18.64,21,12,1,5
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-05-06,2020,5,Zaid,56.07,31.42,33.64,32.93,6,19,2,2
Cabbage,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-09-30,2023,9,Kharif,736.59,15.78,18.23,17.31,30,39,3,5
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-12-12,2022,12,Rabi,530.27,25.38,27.83,26.52,12,50,4,0
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2023-12-21,2023,12,Rabi,529.04,1866.18,2177.24,2021.72,21,51,4,3
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2023-07-14,2023,7,Kharif,505.44,28.26,30.55,29.53,14,28,3,4
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,2022-07-29,2022,7,Kharif,555.4,107.04,119.85,113.56,29,30,3,4
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-09-24,2023,9,Kharif,297.28,11.36,12.74,11.67,24,38,3,6
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2020-01-14,2020,1,Rabi,949.48,1684.41,1835.8,1760.45,14,3,1,1
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2020-09-20,2020,9,Kharif,370.84,2667.37,2801.89,2734.57,20,38,3,6
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2021-03-10,2021,3,Rabi,468.15,64.03,68.82,66.59,10,10,1,2
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-09-30,2022,9,Kharif,707.99,53.99,58.43,56.48,30,39,3,4
Cabbage,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-10-15,2022,10,Rabi,606.73,28.14,32.13,30.35,15,41,4,5
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-02-05,2022,2,Rabi,370.09,25.02,28.02,26.18,5,5,1,5
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2025-12-22,2025,12,Rabi,770.14,5951.74,6276.9,6113.87,22,52,4,0
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-03-14,2025,3,Rabi,479.66,2554.91,2585.39,2570.34,14,11,1,4
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,2023-09-17,2023,9,Kharif,206.18,39.37,45.03,42.6,17,37,3,6
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-04-12,2020,4,Zaid,451.85,53.26,57.38,54.88,12,15,2,6
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2021-08-31,2021,8,Kharif,568.39,19.62,22.53,21.1,31,35,3,1
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2025-11-11,2025,11,Rabi,322.67,4827.48,5259.16,5043.03,11,46,4,1
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2021-03-16,2021,3,Rabi,660.74,13.99,16.18,15.45,16,11,1,1
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2022-03-31,2022,3,Rabi,289.25,42.84,49.47,45.82,31,13,1,3
Cabbage,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-07-02,2021,7,Kharif,731.88,25.48,26.96,25.85,2,26,3,4
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2024-11-21,2024,11,Rabi,259.76,2520.98,2775.96,2648.41,21,47,4,3
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2025-05-17,2025,5,Zaid,226.14,1676.89,1733.8,1705.8,17,20,2,5
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-09-01,2023,9,Kharif,417.48,22.14,24.1,23.14,1,35,3,4
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2024-03-20,2024,3,Rabi,701.52,68.33,72.84,70.36,20,12,1,2
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-09-02,2022,9,Kharif,226.7,20.3,22.44,21.6,2,35,3,4
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-02-27,2023,2,Rabi,419.71,29.89,31.9,31.32,27,9,1,0
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2022-01-20,2022,1,Rabi,744.4,2450.57,2679.42,2565.44,20,3,1,3
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2020-10-25,2020,10,Rabi,755.39,60.22,67.08,63.38,25,43,4,6
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2021-09-12,2021,9,Kharif,295.13,40.06,43.31,42.01,12,36,3,6
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2023-02-24,2023,2,Rabi,309.77,199.7,208.55,204.52,24,8,1,4
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2020-06-01,2020,6,Kharif,304.49,6818.7,7595.74,7206.94,1,23,2,0
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-09-25,2025,9,Kharif,710.4,2068.58,2308.22,2188.22,25,39,3,3
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2025-11-07,2025,11,Rabi,785.92,134.66,156.51,145.54,7,45,4,4
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2020-07-03,2020,7,Kharif,774.67,5833.46,6302.74,6068.23,3,27,3,4
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2021-05-14,2021,5,Zaid,42.16,4633.94,5066.63,4849.82,14,19,2,4
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2022-04-27,2022,4,Zaid,230.94,2469.2,2676.73,2572.57,27,17,2,2
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2025-02-13,2025,2,Rabi,336.47,138.74,159.94,149.48,13,7,1,3
Potato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2020-05-19,2020,5,Zaid,144.4,9.77,11.29,10.8,19,21,2,1
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2021-07-13,2021,7,Kharif,278.13,58.05,65.71,61.39,13,28,3,1
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2022-08-29,2022,8,Kharif,289.78,36.13,38.82,37.42,29,35,3,0
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2024-05-10,2024,5,Zaid,278.03,2431.36,2596.72,2514.08,10,19,2,4
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2021-02-22,2021,2,Rabi,850.9,1762.91,1955.67,1859.73,22,8,1,0
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-11-18,2020,11,Rabi,597.79,30.59,35.47,32.94,18,47,4,2
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2024-10-20,2024,10,Rabi,209.73,5922.42,6609.2,6266.24,20,42,4,6
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-06-25,2025,6,Kharif,332.09,2384.76,2521.92,2453.51,25,26,2,2
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2024-05-15,2024,5,Zaid,312.28,6686.6,7156.78,6921.64,15,20,2,2
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2024-04-05,2024,4,Zaid,799.93,35.52,37.79,36.31,5,14,2,4
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-08-26,2020,8,Kharif,744.7,12.95,14.78,13.99,26,35,3,2
Cabbage,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-01-30,2022,1,Rabi,426.81,15.38,17.81,16.79,30,4,1,6
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2024-12-26,2024,12,Rabi,370.33,37.38,42.17,39.37,26,52,4,3
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-04-27,2025,4,Zaid,174.41,19.87,21.81,20.46,27,17,2,6
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2025-07-04,2025,7,Kharif,174.31,4843.93,5311.66,5077.43,4,27,3,4
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2020-01-31,2020,1,Rabi,61.49,29.96,32.35,31.23,31,5,1,4
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2020-11-24,2020,11,Rabi,785.45,150.15,159.62,154.46,24,48,4,1
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-07-14,2023,7,Kharif,918.09,54.9,58.66,56.91,14,28,3,4
Potato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2020-05-28,2020,5,Zaid,21.74,31.36,34.38,33.3,28,22,2,3
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-02-09,2021,2,Rabi,49.21,26.34,27.62,27.23,9,6,1,1
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2022-05-06,2022,5,Zaid,520.75,50.66,55.21,53.2,6,18,2,4
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-05-29,2023,5,Zaid,104.7,17.4,19.01,17.79,29,22,2,0
Cabbage,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2020-09-09,2020,9,Kharif,248.8,26.76,28.67,27.69,9,37,3,2
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2020-09-16,2020,9,Kharif,58.25,2345.14,2476.71,2410.72,16,38,3,2
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-05-13,2023,5,Zaid,66.52,36.87,41.05,38.79,13,19,2,5
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2021-07-10,2021,7,Kharif,547.06,143.38,156.76,149.76,10,27,3,5
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2023-05-26,2023,5,Zaid,33.71,6235.15,6461.5,6348.49,26,21,2,4
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-02-04,2025,2,Rabi,671.96,16.8,19.14,17.66,4,6,1,1
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2025-07-24,2025,7,Kharif,796.08,5590.91,6485.1,6038.35,24,30,3,3
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2024-04-21,2024,4,Zaid,615.9,1780.21,1961.08,1870.85,21,16,2,6
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-01-30,2025,1,Rabi,256.91,24.5,26.25,25.03,30,5,1,3
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2025-03-07,2025,3,Rabi,417.63,86.26,95.13,90.85,7,10,1,4
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2023-01-09,2023,1,Rabi,443.45,1724.83,1774.7,1749.73,9,2,1,0
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-07-27,2022,7,Kharif,947.16,12.15,13.36,13.13,27,30,3,2
Cabbage,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2021-08-13,2021,8,Kharif,429.24,15.23,16.66,15.82,13,32,3,4
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2022-04-27,2022,4,Zaid,173.37,42.99,46.33,44.97,27,17,2,2
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,2023-09-06,2023,9,Kharif,349.7,77.46,84.29,80.53,6,36,3,2
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2024-02-03,2024,2,Rabi,131.53,41.73,44.63,43.1,3,5,1,5
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2022-11-22,2022,11,Rabi,796.92,22.06,24.41,23.19,22,47,4,1
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2023-12-17,2023,12,Rabi,721.47,1987.96,2170.71,2079.14,17,50,4,6
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2023-02-10,2023,2,Rabi,358.92,139.02,144.44,141.7,10,6,1,4
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-01-08,2023,1,Rabi,339.67,18.96,21.28,19.88,8,1,1,6
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-07-30,2022,7,Kharif,366.75,38.42,41.24,39.63,30,30,3,5
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2021-11-28,2021,11,Rabi,182.36,1655.04,1860.92,1758.16,28,47,4,6
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2021-02-06,2021,2,Rabi,618.1,218.09,237.98,227.8,6,5,1,5
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2025-09-18,2025,9,Kharif,542.76,30.39,31.84,31.48,18,38,3,3
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2022-08-09,2022,8,Kharif,27.9,203.43,221.42,212.86,9,32,3,1
